Algoritmo,Version,n,Tiempo_ms
Factorial,Iterativo,5,0.021596
Factorial,Recursivo,5,0.000421
Factorial,Iterativo,10,0.000204
Factorial,Recursivo,10,0.000425
Factorial,Iterativo,15,0.000237
Factorial,Recursivo,15,0.000646
Factorial,Iterativo,20,0.000763
Factorial,Recursivo,20,0.000308
Fibonacci,Iterativo,5,0.024687
Fibonacci,Recursivo,5,0.000750
Fibonacci,Iterativo,10,0.000225
Fibonacci,Recursivo,10,0.006159
Fibonacci,Iterativo,15,0.000262
Fibonacci,Recursivo,15,0.007717
Fibonacci,Iterativo,20,0.000288
Fibonacci,Recursivo,20,0.046708
Fibonacci,Iterativo,25,0.000342
Fibonacci,Recursivo,25,0.265021
Fibonacci,Iterativo,30,0.000375
Fibonacci,Recursivo,30,2.993554
Busqueda Lineal,Iterativo,100,0.018796
Busqueda Lineal,Recursivo,100,0.004188
Busqueda Lineal,Iterativo,500,0.004467
Busqueda Lineal,Recursivo,500,0.006146
Busqueda Lineal,Iterativo,1000,0.008892
Busqueda Lineal,Recursivo,1000,0.003950
Busqueda Lineal,Iterativo,5000,0.042671
Busqueda Lineal,Recursivo,5000,0.025988
Busqueda Lineal,Iterativo,10000,0.035463
Busqueda Lineal,Recursivo,10000,0.043538
Burbuja,Iterativo,100,0.168346
Burbuja,Recursivo,100,0.039267
Burbuja,Iterativo,500,0.401067
Burbuja,Recursivo,500,0.154454
Burbuja,Iterativo,1000,0.702787
Burbuja,Recursivo,1000,0.625729
Burbuja,Iterativo,5000,11.101621
Burbuja,Recursivo,5000,11.943467
Burbuja,Iterativo,10000,47.561896
Burbuja,Recursivo,10000,65.343458
